SCORES_TXT_BEGIN_0 0 100 9 BLEU
21 35 10 34 4 33 1 32 33 
21 35 10 34 4 33 1 32 33 
21 33 8 32 3 31 1 30 33 
22 32 10 31 4 30 1 29 33 
21 34 10 33 4 32 1 31 33 
19 35 7 34 2 33 0 32 33 
22 35 10 34 4 33 1 32 33 
22 34 9 33 3 32 1 31 33 
21 33 8 32 3 31 1 30 33 
21 34 8 33 3 32 1 31 33 
22 32 10 31 4 30 1 29 33 
19 34 7 33 2 32 0 31 33 
21 34 10 33 4 32 1 31 33 
19 35 7 34 2 33 0 32 33 
22 35 10 34 4 33 1 32 33 
22 34 9 33 3 32 1 31 33 
21 34 8 33 3 32 1 31 33 
23 34 10 33 4 32 1 31 33 
19 34 7 33 2 32 0 31 33 
21 34 8 33 3 32 1 31 33 
23 34 10 33 4 32 1 31 33 
22 35 11 34 5 33 2 32 33 
21 36 10 35 4 34 1 33 33 
20 32 7 31 2 30 0 29 33 
21 34 8 33 3 32 1 31 33 
22 34 9 33 3 32 1 31 33 
21 34 8 33 3 32 1 31 33 
19 34 7 33 2 32 0 31 33 
22 34 10 33 4 32 1 31 33 
20 35 7 34 2 33 0 32 33 
22 34 11 33 5 32 2 31 33 
21 36 10 35 4 34 1 33 33 
20 31 7 30 2 29 0 28 33 
20 34 9 33 4 32 1 31 33 
22 35 11 34 5 33 2 32 33 
21 36 10 35 4 34 1 33 33 
19 33 7 32 2 31 0 30 33 
20 32 7 31 2 30 0 29 33 
22 34 9 33 3 32 1 31 33 
20 34 7 33 2 32 0 31 33 
22 34 9 33 3 32 1 31 33 
21 34 8 33 3 32 1 31 33 
19 34 7 33 2 32 0 31 33 
22 36 10 35 4 34 1 33 33 
22 34 10 33 4 32 1 31 33 
20 35 8 34 3 33 1 32 33 
20 35 7 34 2 33 0 32 33 
22 34 11 33 5 32 2 31 33 
22 36 11 35 5 34 2 33 33 
21 36 10 35 4 34 1 33 33 
20 31 7 30 2 29 0 28 33 
21 33 10 32 4 31 1 30 33 
19 33 7 32 2 31 0 30 33 
22 32 10 31 4 30 1 29 33 
21 33 10 32 4 31 1 30 33 
22 34 9 33 3 32 1 31 33 
20 34 7 33 2 32 0 31 33 
21 36 8 35 3 34 1 33 33 
22 35 10 34 4 33 1 32 33 
22 36 10 35 4 34 1 33 33 
20 35 8 34 3 33 1 32 33 
23 34 11 33 4 32 1 31 33 
20 35 8 34 2 33 0 32 33 
20 35 8 34 2 33 0 32 33 
22 35 10 34 4 33 1 32 33 
21 34 8 33 3 32 1 31 33 
22 36 11 35 5 34 2 33 33 
20 34 10 33 3 32 1 31 33 
19 34 8 33 3 32 1 31 33 
21 34 10 33 4 32 1 31 33 
21 35 10 34 4 33 1 32 33 
